,1S,10S,11S,13S,14S,15S,2S,20S,21S,23S,26S,3S,5S,6S,7S,1P1,10P1,11P1,13P1,14P1,15P1,2P1,20P1,21P1,23P1,26P1,3P1,5P1,6P1,7P1,1P2,10P2,11P2,13P2,14P2,15P2,2P2,20P2,21P2,23P2,26P2,3P2,5P2,6P2,7P2,pval.P1vsP2,padj.P1vsP2,pval.P1vsS,padj.P1vsS,pval.P2vsS,padj.P2vsS
idh3b,6.64381575231678,7.2311751468776,7.18642452661369,7.21046630256352,7.15582453425624,6.8169127290556,7.01163397326265,6.98965174156595,6.54223182732077,7.28787350760628,7.03256608917829,7.20007364954087,6.98381946191784,7.09676271470007,7.05646093934187,6.96759748108542,7.06690299960935,7.08521220305605,6.79011810237571,7.22644064976687,6.52250677461965,7.00643974761908,6.84556991593892,7.07569649305363,6.66488684136962,7.00378157902198,7.2381203136745,6.87905949962195,6.56721808664715,6.95497183413707,7.16184432219409,6.84547517510387,7.23398525073437,6.88347765400496,7.08553246570091,6.43380446733265,7.09375373200801,7.2536347849923,7.12164557633215,7.25476680588279,7.00985346782288,6.93824818359938,6.96900393333945,7.16082243694026,6.65567148153875,0.281420277939226,0.78565308728617,0.201396008356313,0.580636226845669,0.849872958257532,1
sdha,8.05768246537364,8.37422729933026,8.63661151960485,8.08425765574853,8.27684818618315,8.17205595927085,8.53817364693393,8.34729159234115,8.55417735948068,8.5779938626524,8.94630135007427,8.53218062713404,8.559417597825,8.00827400713392,8.61138124940138,8.43152233635454,7.84138592413429,8.25032272494485,7.85554791403526,7.95821972069898,7.64766088812424,8.4254132962725,8.19008688257036,8.56626213277852,8.31481623380081,8.20521481329979,8.14964551064716,8.06020823924093,8.01867301049767,7.76131898680768,8.3463572668986,8.30014808308714,8.42195180786344,7.94787464548668,7.78293192679811,7.7421204755389,8.6469674836099,8.52731202131478,8.39856748819044,8.53770138163307,8.34273711509661,8.03198605964441,8.25013028504884,8.39213082577173,7.93583874316482,0.176544285852895,0.672100253408606,0.00339900275338608,0.0722138129090716,0.115270559845336,1
idh3ga,-0.0687010948221956,-0.194924789133436,-0.214524063079742,-0.18263947633702,-0.200222071115639,-0.246429720072485,-0.317054275022155,-0.22917367440212,-0.224594749531135,-0.133261829044557,-0.235473523705244,-0.307813269970673,-0.306153184263317,-0.20157104640523,-0.314840192934515,-0.30198353049188,-0.174921931998586,-0.187960891108971,-0.0578378230867092,-0.213778274518736,-0.313950014774085,-0.301498979824118,0.10204462917912,0.0679295226488985,-0.304351516119517,-0.314226542779643,0.0398160694141502,-0.184242104487552,-0.307958469331752,-0.306728941945941,-0.198160301873314,-0.19607205935521,-0.133213866019288,-0.122285894040349,-0.224285650975296,-0.156396092764423,-0.31993515876289,-0.332923551454545,-0.215331755601713,-0.337044722522375,-0.32075022266474,-0.182901031102911,-0.309716649378441,-0.31755922724545,-0.0740957007937025,0.268223314931758,NA,0.348995323810496,NA,0.853820892646623,1
sdhbb,7.25195650642127,7.25742950523131,7.35310800492414,7.12066897884166,6.85897627413175,6.64214470927734,7.62668729090857,7.03950652464377,7.51300100027549,7.65904372192478,7.85039359242336,7.83413242767189,7.58167402321352,7.049760682029,7.81313509272074,7.66964452403123,6.8671030843032,6.86476127383433,6.57837128013761,6.80867237053553,6.47718640972331,7.39200699774309,7.22555739280356,7.5609709124977,7.3559057696362,6.97843491276421,7.44455805507996,7.31006917762023,6.99146252389604,6.79142773910017,7.41503597534584,7.22016649091533,7.19377006803701,6.71551704409287,6.709650536183,6.80189170695101,7.91854139237164,7.36128013771627,7.22228874258159,7.40227661656108,7.36751835192744,7.2511401445657,7.38060990561883,7.34039639336868,6.97059259973953,0.294274513768732,0.793013975670637,0.0386778616341693,0.267102804507096,0.31032699917611,1
idh3gb,-1.77658932380036,-1.7801861084311,-1.78789523415545,-1.77526751150242,-1.78228327766597,-1.80031710726358,-1.7805814111638,-1.7935999018182,-1.79181916500684,-1.79445561011064,-1.71042749074006,-1.77380690955919,-1.77256446912513,-1.78281546145652,-1.77897765399244,-1.59815837142124,-1.68650651258947,-1.77740855769683,-1.77352521476018,-1.78760397358833,-1.77832972125329,-1.76903071160087,-1.78401448504681,-1.79016709233256,-1.59996177210081,-1.77853119826873,-1.776800529443,-1.7759141800075,-1.7739151651146,-1.77299638016013,-1.78146847697665,-1.78064136160602,-1.70882040914892,-1.62018914371199,-1.70607692846422,-1.76438509256434,-1.7826529775947,-1.79183787931454,-1.7882105411695,-1.70909802477252,-1.78323624350754,-1.7753731642196,-1.77522094986706,-1.78094569579869,-1.77810097355012,0.908034136028814,NA,0.48461814506039,NA,0.557421382845833,1
cs,8.79851275407045,8.88895507570837,8.8471143651678,9.18118253190371,9.05650949701865,8.97279381989924,8.71150346462844,8.95461940277393,8.9058931524617,8.92303995932309,9.0190770075369,8.74828265580653,9.08253322856107,8.9793741560773,9.01868422811956,8.96295430922124,8.85377984846778,8.85505584969913,8.60503407811282,9.01984040490747,8.96244810697437,8.81370772718999,8.83852203065401,9.02716223734677,8.96666281618179,8.85478083590939,9.0716928010205,9.00552436503924,8.85180854450065,9.04471563077313,8.73851274674078,8.90664610207113,9.06382927834806,9.03180910154114,8.92216441271332,9.15556970248243,8.7890508778833,9.1711297197696,9.06384118324938,8.89464638129186,8.71374398303432,8.97783390175986,8.85979108544322,8.66615156817142,8.98318533024174,0.445452026778687,0.878954408635681,0.481160320599357,0.808105458230518,0.94446124146468,1
sdhd,4.46270045620479,4.70258279907816,4.64035698872492,3.84401258241195,4.43633068680443,4.50241541693645,4.43031538615994,4.13285243751678,4.36523406937728,4.15405370990778,4.53595875304077,4.79332093106992,4.81701999248713,4.49568626048859,4.53087727873253,4.41695584387673,4.85677769078389,4.7555159927988,4.82991320038257,4.15674348573318,5.0315050582946,4.37621862276318,4.56994782623165,4.59692707013349,4.24266725948772,4.70361329180041,4.57027894244032,4.5129139384919,4.69284059267199,4.60267976497798,4.21666389615362,4.23029093025994,4.46249891153036,4.43296845028621,4.59384578364226,4.71922658183983,4.89619502660778,4.33339981275112,4.4617207937109,4.53619531513107,5.12482073383123,4.40342836469619,4.8859153070528,4.49537567216151,4.64832823575606,0.544000934306922,0.917866820862787,0.0945582358394489,0.417890129450143,0.276634949151578,1
sdhc,7.22384310543831,7.24258451789003,7.44280846550275,7.35583628418015,7.66451659210957,7.76794698354852,7.20591137820428,7.05553487769117,7.3311460753211,7.56385580226262,7.62913923043344,7.30999363494874,7.50664447671775,7.2162509940514,7.55630484947605,7.32516079807744,7.10835429369094,7.22022787709112,7.13086457310005,7.39997099236849,7.67388277387286,7.29206291184995,7.21498234300716,7.43203662558713,7.44332631215879,7.44771397917079,7.27794482752566,7.35470979489165,7.17317394436987,7.33615764782588,7.37296347604284,7.60944660844735,7.74866517913743,7.29013903741387,7.37721400264608,7.08752707638823,7.61920917822199,7.65927288526215,7.51503245583918,7.47191843013229,7.51816482677024,7.2129927271804,7.3428649470747,7.52051053867055,7.31772675846983,0.0139281996556681,0.230321229609197,0.12775596334264,0.484266747881358,0.324554050614781,1
dlstb,5.69632357991462,6.11585463188239,6.04685798325318,6.21143736884193,6.04253084360922,5.79803092322877,6.15960925081625,5.75657375138656,6.01822721978892,5.89068498735445,5.98992261727923,5.98126108457112,5.99044425053825,6.07105693660986,5.87087215294663,5.82297013615679,5.96396253698211,6.07855405264941,6.14892852612688,5.99151596879444,6.07298351366398,6.03017605516269,5.97709928798078,6.04347642820578,6.21522420245786,6.0829800494655,5.60641540115929,6.22428416934953,5.6419169978938,5.8512335793806,6.27287890577228,5.88512009934003,6.03616659812771,5.88241922279565,5.90196725679221,6.39746605226733,6.17564359986927,5.97171103526598,6.19702917657988,5.8113048062039,6.08780079540388,6.15254987449656,6.12658955089692,5.87862080161623,6.06338834464621,0.386532631080702,0.847848133796161,0.845350749776056,0.961910995994556,0.270737404620797,1
sucla2,7.03494953793317,7.45425431337021,7.37646800309599,7.11601991644706,7.26940909291344,7.14184111062468,7.15572669396009,7.04322087366362,7.35564260040889,7.46069689238738,7.36953503647406,7.19054536017622,7.25901094548512,7.25696678827153,7.06399372473144,7.05807083322996,7.13648074047196,7.22915478861967,6.93549250795715,7.16384024276552,7.32386910650832,7.24239494837815,7.05535286534979,7.26146161757653,7.04685058394468,7.28620936524848,7.22876374809251,7.2782484972935,7.17179801714723,7.11665774976726,7.40698101269338,7.33871246753801,7.4650050197089,7.09900097981566,7.19913512296804,7.00913791992524,7.47588007395929,7.35983846267364,7.32835589376502,7.47808194533518,7.3251876569347,7.08835240974297,7.34341908275536,7.2626350765897,7.27602809979353,0.0135670560661182,0.228169793026171,0.169628695507536,0.544123926831495,0.249881169832136,1
