,1S,10S,11S,13S,14S,15S,2S,20S,21S,23S,26S,3S,5S,6S,7S,1P1,10P1,11P1,13P1,14P1,15P1,2P1,20P1,21P1,23P1,26P1,3P1,5P1,6P1,7P1,1P2,10P2,11P2,13P2,14P2,15P2,2P2,20P2,21P2,23P2,26P2,3P2,5P2,6P2,7P2,pval.P1vsP2,padj.P1vsP2,pval.P1vsS,padj.P1vsS,pval.P2vsS,padj.P2vsS
eno1a,8.23991618141551,7.92118583681376,8.05966404296926,7.85145315090818,7.51898656726225,7.77199193892011,7.94194799048825,8.51637016434039,8.35400761445284,8.00420149121994,8.18040273767432,7.72987150279287,7.86131027381864,7.76463260490564,7.89143228760767,8.17319827949728,8.02962837696599,8.18003413688778,8.29609392745708,7.63053603639037,7.7646760400443,8.07412005991052,8.22550086515619,8.32854061639118,8.5105787752331,8.16770791778584,7.80014213068712,8.06538125814606,8.37132627360904,8.30894488213584,7.69221694572496,7.74697623042817,7.96592674036697,8.06473050081765,7.73072990540392,8.12896950381403,7.87612909649977,7.97520927008072,8.31392338241892,8.14288733174628,8.0692411809578,7.95291108160042,7.9706111690712,7.91627837812479,8.10646495672935,0.0393359218445024,0.363727725078917,0.0652689305998004,0.351843373274372,0.804852327785198,1
pfkpb,6.39611081728963,6.37203380670686,6.0711756449109,6.17502408861101,6.00746616117358,6.08919810953074,6.79726175353627,6.96871410525999,5.91057660403502,5.97442640234859,6.51215872826611,5.96164357678983,6.14191142173104,6.10678728855307,6.48603768644878,6.05518431133437,6.11881004122641,5.90349808851856,6.0886009579059,6.06532758461197,5.27822046994774,6.13490626001159,5.79907271409732,5.89353017424278,5.97952781098411,5.48765499138197,6.5774574177908,5.91715121502391,6.18987777643543,6.32452128409018,6.14963497596925,6.4986009768234,6.00858610570441,5.87972215933104,6.23606880976127,6.16259961097403,6.41200866561714,6.0318645653021,6.35383746452034,6.71790885638635,6.12365383632052,6.42373221774309,5.42123259098928,6.32082977015397,6.05315062096392,0.142023381870572,0.619619985541715,0.0234028266553224,0.210282981212481,0.427762563669867,1
pfkl,6.01046343928543,5.35234608639119,5.48576018414927,5.497417359787,5.47619198429867,5.48805581760257,5.47200758924805,5.29724382494089,5.51544687018939,5.50385555473945,5.26431709124896,5.41092361431516,5.59715724015842,5.85747118331426,5.50533548966622,5.50010263431948,5.4692379241382,5.55830310276261,5.14332567727421,5.28730841081769,5.83875414721461,5.89062992951373,5.13448312396437,5.19451372714045,5.05706625054125,5.92434755811966,5.22346177410275,5.99719838636413,5.38402731184385,5.60948440562552,5.30384304076747,5.12219191530275,5.70459396936714,5.26828143560281,5.37164047275297,5.10969662650156,5.59694430315115,5.56002961483786,5.29507033820807,5.23839226733256,5.41704970125227,5.58058430352707,5.4983768818749,5.63338440323914,5.6765273641626,0.887285310514346,0.985718863884601,0.365411988559925,0.736482561206087,0.284891156295876,1
aldob,9.73768642233863,9.58438719393448,10.1038495872259,9.32443235712767,9.56684707986604,9.78725749444407,9.37076643780284,9.53914043329471,9.90244585912871,9.60905683855777,9.92813097954555,9.7309751439593,10.0478725674067,9.47192723411491,9.87661278398477,9.62954286603388,9.24865423701426,9.28681463929977,9.23747517893403,9.50142161152901,8.40130254909952,9.07716239134469,8.83853729316895,9.5050973355595,9.75674794672371,9.536619747727,9.14734057151134,9.30710617109312,9.21958877129634,9.02831781754023,9.31481276947133,9.54710212939091,9.81412140935184,9.98101025244259,9.1571129388764,9.22953941371345,10.0429360011571,10.0893991501559,9.26384987750609,10.1023562189827,9.74038737585477,9.60602495643181,9.25003270237192,10.0372550174507,9.52012106268099,1.82905670821842e-05,0.0111983745278199,2.08392259622222e-05,0.00508740497104512,0.928891082241518,1
pgk1,2.49986258919176,2.62368834884427,2.79656411654027,2.51190990337276,2.52675687343902,2.53447635665007,2.94562899789698,2.72607780612727,2.69085196782201,2.65946867881598,2.79956859542276,2.34173848945732,2.70352193586888,2.73461905457768,2.30324291527558,2.65328064020848,2.78519634735986,2.92648984930705,3.09225945004304,2.96018653799201,2.78647644471138,2.56863060822229,2.26582251321086,2.64987415611897,2.6356124651002,2.39651202816271,2.73362088084462,2.58936516610173,2.60901500283536,2.84805687562202,2.2847158157685,2.37896782836976,2.91592939351009,2.75280529044437,2.74952307088171,2.51371305265239,2.44463477583242,2.63071239835209,2.79265979257801,2.33605953070716,2.43933380650202,2.42278426212811,2.67571586453896,2.53989330201179,2.56785945297337,0.0864758183340374,NA,0.338169626645746,0.714218858615462,0.420873553727521,1
aldocb,8.71017417097467,8.6199183520604,8.33847588923214,8.57504523786987,8.31715161358567,8.30038694843639,8.5107416283892,8.86067882715738,8.36742931424789,8.50791315272674,8.87542227438421,8.41367463963473,8.42887741735258,8.34848041428153,8.45541165380068,8.52264374159659,8.2669859011066,8.34922473134478,8.32333179024477,8.26525258410392,7.77987426371436,8.50607899992435,8.54496959294858,8.62628359871569,8.57893350886502,8.27652739350045,8.68409863019102,8.43598022490678,8.39307419865285,8.39659953178213,8.61675207699475,8.56953240560328,8.44946756227535,8.22968658521263,8.51344218266168,8.33723063678469,8.51024852121491,8.59371363468619,8.54888855454347,8.74381696849716,8.47456877787619,8.55737194235406,8.1209237446836,8.58851943865974,8.27208980176514,0.3630808023935,0.833828724740604,0.151100383610537,0.517654076836952,0.603285043500237,1
pgam2,7.73540047802968,9.17333812374985,9.2047444225269,8.33047924896518,8.92260420647694,8.22456414363725,8.8250181930628,8.42402075330672,9.03953731074724,8.86542127774305,8.76636189250334,8.75806645879245,8.88027902514514,8.77788325640567,8.71793776935195,9.00092316847974,8.86709588603546,9.47770702645591,9.04852603897997,8.84215724965063,8.76168795667624,8.86746070779122,8.66026098482399,9.04171020134789,8.98919266678226,9.10572508542898,8.99643856343302,8.9104223933249,9.15221218115249,8.40667382058733,8.4049931948282,8.43071240925538,9.3319870355255,8.80678923295885,8.36519689503266,8.8807281095746,8.65565044327686,8.95613822470991,8.47813080529697,8.56642441249578,9.33362038495946,8.12850335080433,8.84677645035861,8.91840254024987,8.41317160243257,0.0213100182854797,0.278960190336395,0.0272524139285993,0.227844689830135,0.899081944196675,1
tpi1a,6.61590540612629,6.64481643838765,6.64321694279834,6.59134557748418,6.86011877862364,6.635898813952,6.67343464950224,6.36853500632112,6.34337396804087,6.62733126282302,6.71052764361051,6.60176092402443,6.80085215885713,6.69361188089204,6.71964277112663,6.49987851358617,6.19829799690879,6.28259422635016,6.54937001302124,6.28237500794651,6.71596126756241,6.19466358591751,6.0409436931229,6.22607663221978,6.16648737560027,6.25822666576471,6.49962719224445,6.11816157599886,6.46608142643177,6.22885351319304,6.47350514821973,6.5345452869553,6.89151619939842,6.67596898901531,6.69840277791542,6.36401128956639,6.61662230661624,6.3713355997942,6.32308567422804,6.92356062708238,6.70107673606791,6.31284671707862,6.4871054865682,6.77962171062865,6.36070421061714,0.00038021799876156,0.041869746845104,1.59432536462735e-05,0.0048821148748668,0.459881542322422,1
eno2b,7.63976081448749,7.58115502567194,7.6702854861646,7.97613582239609,7.53680296259651,7.48552811636605,7.99813194982951,7.6419591526683,7.25611040184161,7.78203826230568,7.76857346392727,7.56685889307888,7.58996499250011,7.54999657795946,7.86464039229621,7.45248219791945,7.22960939209738,7.54758668720053,7.25624625296871,6.72674225607292,6.74949007521186,7.54802545021158,6.94683438016521,7.12634828327317,6.87881699344098,6.87357116728016,8.00370100658794,7.52950031257305,7.18064449769737,7.39147696433022,7.97636094953456,7.93305597309204,7.71336481219703,7.3822048115089,7.26423306259625,7.53856422207339,7.53845140386527,7.23403118522933,7.51481863251141,7.88501505456455,7.54005013226584,8.01876757618568,7.30328220260649,7.85430214796862,7.30953520405632,0.00173879165888961,0.082623188125672,0.000127072985982145,0.0133030683223482,0.503787923473838,1
gapdha,10.4835775953709,11.370345521175,11.3340379405536,10.6824370445235,10.641613622076,10.5927769203739,11.2907349677379,11.2224668672051,11.3650039772366,11.0709910965611,10.9280891817962,10.8752873204641,11.0490866549411,11.0893620437913,10.9246241686694,10.7880191528117,11.2215263992913,11.4370391173726,10.7575984431038,11.2686852519784,10.4993937287707,11.0637270664843,11.00254181876,11.2213924850097,10.887170631493,11.0842791733827,11.2686838722562,11.2238467198117,11.1159098192183,10.737426546408,11.0087510628238,11.0259796232096,11.3953850339189,10.8030199377104,10.640699620097,10.6382005785142,10.8327748737618,11.1389828529238,11.2081650211596,11.0770259390244,11.15121081223,10.8554228450115,10.7839580050071,11.0848938270492,10.9228134361743,0.278060343086378,0.781096677870398,0.53152116999115,0.832433275878594,0.633074695290449,1
eno4,-0.343702565031286,-0.112261522133618,-0.245773667297904,-0.341930976631075,-0.351462124767357,-0.184934248118861,-0.227277625594497,-0.260350888522627,-0.255793466854018,-0.36853744563699,-0.169543908681532,-0.339987996447636,-0.207478144644456,-0.232893427179415,-0.223269366869253,-0.0742755322151053,-0.0837472708724848,-0.219368736207581,-0.339615101542239,-0.358865415675662,-0.346053258380617,-0.333751262863693,-0.353857140555852,-0.251569903102325,-0.204189153348068,-0.34632665480949,0.11249098072868,-0.342796158545178,-0.340131460367383,-0.338916696408161,-0.229503229215457,-0.227427852997192,-0.36851869758284,-0.254806018994078,-0.0588251106045598,-0.188038538122709,-0.23248382602905,-0.364829535276714,-0.246577095607141,0.0134314444484537,-0.12320693601187,-0.0951461163185263,-0.341868796623258,-0.349622200863011,-0.345743168783531,0.726669000271608,NA,0.775497397872617,NA,0.497478474463571,1
pfkpa,5.52869510735964,5.28755802729316,4.94623243458582,5.13922361802978,5.34964216055973,5.12171996588881,5.50066195393507,5.22675476963746,5.17232609126174,5.2930640739815,5.38197445846705,4.81654803709175,5.27339703679638,5.35846283824424,5.47811242428398,5.43873812230766,4.88315166453424,5.3666368859028,4.96115017710905,5.0932733431037,5.18397904736539,5.11076418217809,5.23112443850092,5.28047525607242,5.06944780506464,5.15470513302105,5.26384319397219,5.07020263981379,4.95390947365859,5.15543520116,4.99153368689862,5.13804706025758,5.40177730315486,5.14150296695672,5.2122615431308,4.82070053541557,5.41962013725079,5.20939257850672,5.14589717036248,5.42502062857165,5.22537120693892,5.13715924470214,5.11217029625601,5.43658343037147,4.96970345204839,0.509865916741987,0.905267020621485,0.107734274402169,0.445612102979697,0.328650070673449,1
eno3,8.02542244450042,9.39588824090153,9.58808562517507,8.74736851124378,9.19864163354648,8.74697810320117,8.95719282716172,8.76103098825333,9.11347341964944,9.13634797678785,8.89330379585734,8.93800133927453,9.19367327610669,9.02899122978359,9.02310078132961,8.57702041195789,9.33913648579529,9.44593971292038,8.50820985330347,9.0751697129959,8.640531463714,9.14572550746568,8.68304635603967,9.07570079375619,8.79615874832767,9.20320278768606,9.45214584535376,9.35737723756087,9.43664703974305,8.75384607771388,8.7554869628738,9.4061914759321,9.57122077691352,8.97747494029757,8.69027166704084,8.66231790978715,8.9508150404152,8.84145801051284,9.00570317405681,9.01128070337761,9.32165318870106,8.62357844858413,9.04768527735839,9.14765418645572,8.85760596495258,0.527935054180909,0.912722878124118,0.535564444605911,0.833998225673128,0.983717973471086,1
