"","1S","10S","11S","13S","14S","15S","2S","20S","21S","23S","26S","3S","5S","6S","7S","1P1","10P1","11P1","13P1","14P1","15P1","2P1","20P1","21P1","23P1","26P1","3P1","5P1","6P1","7P1","1P2","10P2","11P2","13P2","14P2","15P2","2P2","20P2","21P2","23P2","26P2","3P2","5P2","6P2","7P2"
"pde6b**",6.18124083136029,6.34427046733301,5.14385387512693,5.91894591874508,6.0291145946913,6.18746180570203,5.69988290956387,6.08255262845823,5.74098466812757,6.1223670269598,6.89860947546573,4.49465446618121,7.14844857730007,6.73055108141852,6.67435608818232,5.23976842068756,5.41493274538896,6.01925513641893,5.04453923823085,5.35312933517002,5.31510161099824,6.19225319913639,5.18968189132516,5.35570805101768,5.74468857041751,5.35003214695009,4.92281682726767,5.62847029265901,6.25395837801978,4.93962786261463,6.1145770521167,6.25690431343848,6.47307878240411,6.15662025754815,6.38472142034039,5.23921532516822,5.6488828633406,6.57064943386717,5.0229361523694,6.98005967169501,5.08462052428375,6.34246734535604,5.64539459694794,6.39420203244868,4.65166142479194
"grk7a**",6.61828870186054,6.36239248254492,5.37747924993392,5.46400897864629,6.05066957632689,5.90642265408711,6.27761554163431,6.50876289982609,5.78310625687875,5.90793692929982,6.647460741138,5.24209978001919,7.35589399222308,5.77958982956415,6.68915016984801,6.59076057183713,5.23073537075613,5.33587063801475,5.09854868044725,5.28884217754777,4.64766156523128,6.24400636102153,5.30069188761527,5.38488878653488,5.70973029724101,5.09342164203552,5.9066479315735,5.32846932178964,6.03524305293499,4.93962786261463,6.84634499817098,6.00536330140137,6.12272119895396,5.70709989720266,5.6782503492812,4.55540713084044,6.69548425865012,6.75898441758115,5.64567233165734,7.04505769927206,5.16717265878477,6.4600572491529,5.64539459694794,6.67571025704078,4.84037429100167
"cnga1a*",6.61828870186054,6.94512950352103,5.77293547874489,6.82635537640426,7.15333667553007,6.59415290216897,5.22474196038978,6.6445398603723,5.82398342543432,6.88445166751684,7.19079190329895,4.72820060033311,7.59277852017229,6.64988836769037,7.05121318029897,5.9847296734365,5.88357920306338,6.68950136744744,5.61712631900501,5.66053510619827,6.11206740237449,6.47767320546086,5.52863042106306,5.19936529927239,6.02503874393658,5.94011435704879,5.87943174135883,6.22167700007672,6.1366686811397,5.73391645617559,6.29057985912001,6.65579733278877,7.05335345615833,7.0697046609571,7.32290685899443,5.76739583981246,6.06208130889688,7.03210255730899,5.76501417521999,7.12236502159756,6.06745052225303,6.85211709737724,6.24056633209349,6.66144967541984,5.00401100378602
"gngt1*",6.53406757346947,6.884041420276,6.04270050351395,6.55411807973467,6.9641145014635,6.83938793808423,5.69988290956387,6.7881446074746,6.31200513122729,6.78254562330208,7.6660901200179,5.09263773182626,7.73970561634053,6.71742020635038,7.28278786227795,6.01469904233284,5.45727943654561,6.49344489270729,5.38279186312265,6.42914018415027,5.75596488281898,6.43392158066844,5.93983871466312,5.64652900164407,6.72307243094874,5.88863525960071,5.30852525111652,6.03385064758942,6.27628963121993,5.59353272412829,6.39680115086209,7.06827339831898,7.35347195718739,6.80160220998382,6.89199563156835,5.50493773086092,6.06208130889688,7.28312889822393,5.67038303589837,7.53203069113039,5.31815760979879,7.11256331592815,5.77428392690412,6.89858427701281,4.71789909560207
"pde6c1*",6.88592562921893,6.9210064567817,6.40648355236659,6.28269517197339,7.2300311904182,6.60367795759419,6.53657152149006,6.42312433108428,6.39484902428976,6.39921545602285,7.39771338700733,5.89995623735965,7.47921212635915,6.32497563227206,6.82921961729353,6.61034805497394,5.68689294506371,6.06744341651006,5.33945215906501,5.58334832111108,5.14412079478482,6.43392158066844,5.82396598052696,5.82490749563802,6.45873891953094,5.42561927107383,6.49296603726025,6.03385064758942,6.42345180535777,5.51754364757417,6.99952902635817,6.76725895148222,6.39958418911136,6.57028175186777,6.25723961480304,5.91817576805343,6.72212764329974,7.20170062855129,6.2440214616284,6.8220264810643,5.93758865876474,6.71741261068483,6.34668257404114,6.64704493843466,5.57551161608306
"gnat2*",7.04002184649361,7.23634129051501,6.78779614640603,6.55411807973467,7.47015867066827,7.04165905151149,6.38693753741643,6.3976757618104,6.26868979093493,6.53117032297363,6.89005400456211,5.74657332158309,7.35589399222308,6.25365629834189,7.20283868017311,6.48856064096695,6.45337342586283,6.68950136744744,6.54954800906749,6.01210161114868,6.75144853560211,6.78631488236451,5.89464080736194,5.59807071758788,6.3509983112919,5.98976123057649,6.175531536133,6.48191545082348,6.80626549065144,6.05955977553294,7.06505383295884,7.10048429409198,7.10026854804831,7.0697046609571,7.28014100239357,7.02446344335007,6.77396655072925,7.17090561920184,6.35331192635625,7.03709247500718,6.36450652049603,7.23789588484456,6.48303240369055,7.46311015249291,5.43560408545204
"rcvrn3**",7.76146920444052,7.96951433733787,7.01421617774332,6.82635537640426,7.07230642522442,7.06246583525116,7.09162516714214,7.10226240122305,7.03266099161176,7.05295835935739,7.70064541252812,5.92870085731451,8.05563627628174,6.85561531363973,7.75838703660655,7.28103466857192,6.49356771260943,6.65864324615786,5.72074631176119,6.10597392508031,5.57000980955992,6.85406123820728,6.27452363417692,5.94507169824995,7.01786605052746,5.91461252978446,7.13924381210177,6.60448931167707,6.67864822354482,5.79908389091873,7.4305667370506,6.97865872362957,7.10026854804831,6.82179577768027,6.64399078348817,5.50493773086092,7.15200664890092,7.93216179550616,6.73332476058867,8.2987590849218,6.44584312049961,7.61056564936473,6.73744012950216,8.01410483481371,5.47195778415147
"gngt2b*",6.72841000772957,7.52694336394275,7.27461747116205,6.82635537640426,7.84362674917605,8.12987969693219,6.72821299669587,6.42312433108428,6.3540329855871,6.84823026960429,7.36111970473863,6.03810296068343,7.99500502539606,6.93707182427665,7.48213388123958,6.89188580604766,6.55180401183604,7.18712932550028,6.75521570754406,6.51326826256065,7.00023890220377,7.03993774752566,6.20263725393745,6.34331180587167,6.57808187734579,6.06107591849541,6.01049313391011,6.9850938454048,7.29308680754211,5.86132222558519,6.67474409953141,7.68532110290865,7.67042601737399,8.04671259775702,7.73519625456128,6.90504934983511,7.13232781990011,7.12343634669728,6.7561426055455,7.03709247500718,6.96912243790494,7.12442084450556,6.87080515010383,7.93374550290002,5.9763941665518
"arr3b*",8.23438966639604,8.20177530856412,7.33675376640039,7.20798268396998,7.6341766247144,7.48314060152514,7.19480104316858,8.04057059001509,7.66676072140983,7.7057674472009,8.40119153943618,6.69836755960079,9.01962749693336,7.86888510800027,8.49605071368483,7.57697026274329,6.74700857322618,7.53904059124494,6.47381125667391,7.26750292284763,5.94534959727071,7.77421493440456,7.47098047818504,7.11609099558467,7.88550155965332,6.80165762571204,6.78155800753714,7.03559843746532,7.56895450248953,6.16139188966178,7.78771316230309,7.94335740928043,8.01385878547316,7.71151663494051,7.2582705210066,6.58757458072461,8.14289093427848,8.59299692577771,7.45078481471673,8.56210235655352,7.02286439471748,8.12811444286369,7.64033346451432,8.03626432188439,6.04908422692481
"gnb3b*",7.74666022563829,8.15100697592299,7.81145432724637,7.80290743138446,8.50188527443914,8.39544255754177,7.69424013178606,7.3399662736193,7.10781929171042,7.63864463351075,7.88360912512641,6.46588122817159,8.37395881500891,7.55283847759278,7.97210107388871,7.42013253454138,7.41156246998203,7.81456142618062,7.45942152396185,7.29139744189334,7.71436886962366,7.38663036218136,6.39214509922048,6.53248474513367,7.33144273348927,7.02983596068767,7.16167520195391,7.54240638673601,7.89626110818983,6.58294644040422,7.53429341360594,8.21195961940157,8.20437466098433,8.37053762128534,8.31696289635259,7.84836368821006,7.75703168311074,7.87609863884175,7.42263218346015,7.85044782735982,7.16342583084274,7.84320817407978,7.57256955002418,8.34219143754516,6.55871358987685
